id;category;plate;bill_type;bill_type_title;street;from_date;to_date;bill_id;amount;external_number;bill_date;bill_status;sepandar_share;issuer_share
1;PARKING;whiteboar;synthesize Brazil;teal;Carmine Burg;2020-11-19T16:35:46;2020-11-20T00:31:56;monetize;37782;Towels;2020-11-19T10:21:59;DEPOSIT;16372;6320
2;HIGHWAY;frictionl;Senior scale bus;TCP withdrawal deposit;Nolan Ville;2020-11-19T19:00:34;2020-11-19T12:12:19;CFA Franc BEAC connecting Fantastic;99736;Cheese synthesize Bacon;2020-11-19T13:05:59;UNPAID;15677;70075
3;HIGHWAY;Car maroo;District magenta;protocol cross-media Garden;Haley Garden;2020-11-19T12:10:30;2020-11-19T14:21:12;Robust;92849;THX Divide;2020-11-19T08:06:33;PAID;83689;195
4;SIDEPARK;gold Forw;Savings Account Mountain array;Human Balboa US Dollar;Terry Expressway;2020-11-19T12:22:53;2020-11-19T21:05:30;Car;97006;Interactions connecting;2020-11-19T20:32:41;PAID;27948;97648
5;PARKING;back-end ;Tenge;Computers Ridges Re-engineered;Luciano Squares;2020-11-19T05:19:14;2020-11-19T22:15:12;Norfolk Island Concrete challenge;42349;engineer;2020-11-20T00:25:30;UNPAID;12704;24834
6;PARKING;envisione;Berkshire blue;scalable innovate Keyboard;Joshua Glens;2020-11-19T08:45:30;2020-11-20T03:47:17;application Intelligent;80227;Chair;2020-11-19T23:55:33;PAID;35581;57226
7;CITYTAX;FordsXXXX;solid state Maine;invoice;Stokes Rest;2020-11-19T18:47:25;2020-11-19T21:23:27;copying;23615;Sports Web;2020-11-19T06:11:04;UNPAID;60143;14346
8;HIGHWAY;generate ;copy indigo navigate;Auto Loan Account payment;Muller Brooks;2020-11-20T04:19:50;2020-11-19T10:28:54;Tactics payment Wooden;67999;systemic;2020-11-19T16:56:16;UNPAID;11655;59605
9;CITYTAX;panelXXXX;Singapore Dollar;Sleek Frozen Gloves orange;Abernathy Views;2020-11-19T20:53:47;2020-11-19T22:15:58;payment Cotton success;14423;orange Clothing;2020-11-20T03:22:10;PAID;17439;40117
10;PARKING;Toys hack;morph Shoes;benchmark Movies;Schumm Creek;2020-11-19T07:01:30;2020-11-19T12:49:06;Automotive real-time;42143;EXE;2020-11-20T04:25:28;DEPOSIT;93259;22028
