id;plain;code;type;creation_time;creation_by;last_update_time;last_updated_by
1;SCSI ban;66888;FORMAL;2020-10-24T06:00:11;payment;2020-10-24T04:12:50;Sleek Granite Table Berkshire Program
2;Home Rus;26080;NORMAL;2020-10-25T03:11:40;Shoes back-end;2020-10-24T17:44:25;Frozen transmit cyan
3;holistic;68422;FORMAL;2020-10-24T21:04:56;payment;2020-10-24T19:10:44;Salad
4;Research;71181;NORMAL;2020-10-24T06:26:41;Lempira fault-tolerant;2020-10-24T11:23:17;haptic Fantastic
5;Metal Be;11267;FORMAL;2020-10-24T12:58:26;hacking;2020-10-24T23:43:51;cross-platform SQL
6;cross-pl;68940;NORMAL;2020-10-25T01:33:13;Maine Fantastic Steel Mouse copying;2020-10-24T05:35:18;Metal
7;Cambridg;99170;NORMAL;2020-10-24T08:59:56;deliverables Illinois;2020-10-25T02:44:35;olive turquoise
8;paymentX;54284;NORMAL;2020-10-24T08:07:35;Bedfordshire Norfolk Island;2020-10-24T12:44:49;Industrial withdrawal Virginia
9;Bacon Au;31802;FORMAL;2020-10-25T00:24:12;indigo;2020-10-24T21:45:58;Salad Fantastic
10;Tonga Op;63527;FORMAL;2020-10-24T13:52:32;Buckinghamshire Small;2020-10-24T06:31:52;drive Freeway Fresh
