id;category;creation_time;creation_by;last_update_time;last_updated_by
1;SIDEPARK;2020-11-01T14:47:14;deposit Dynamic;2020-11-01T09:03:39;holistic
2;SIDEPARK;2020-10-31T20:41:04;eyeballs;2020-11-01T08:13:36;TCP West Virginia invoice
3;SIDEPARK;2020-10-31T21:52:30;Philippine Peso;2020-11-01T09:00:33;Handcrafted
4;PARKING;2020-11-01T05:03:23;Chicken;2020-11-01T10:54:36;Concrete SMTP
5;PARKING;2020-10-31T21:07:56;harness;2020-11-01T15:30:01;Sleek
6;PARKING;2020-10-31T17:56:26;payment;2020-11-01T15:58:35;Intranet Plastic
7;SIDEPARK;2020-11-01T03:58:06;back-end program;2020-11-01T02:45:48;Massachusetts withdrawal
8;PARKING;2020-10-31T21:06:04;markets;2020-11-01T06:00:14;Senior connect
9;SIDEPARK;2020-10-31T20:30:25;Bedfordshire Ergonomic Optimization;2020-11-01T10:09:22;flexibility bottom-line background
10;CITYTAX;2020-11-01T13:08:03;bypass;2020-11-01T11:37:25;Principal
