id;plate;mobile;from_date;to_date
1;16974;efficient Moroccan Dirham Administrator;2020-11-07;2020-11-07
2;5519;transmitting invoice;2020-11-07;2020-11-07
3;17774;Accountability protocol;2020-11-07;2020-11-07
4;22846;invoice Toys utilize;2020-11-07;2020-11-07
5;31322;GB intangible;2020-11-07;2020-11-07
6;7878;Avon Cuba Handmade Soft Bike;2020-11-07;2020-11-07
7;72619;distributed;2020-11-07;2020-11-07
8;32268;digital open-source leading-edge;2020-11-07;2020-11-07
9;56683;HDD;2020-11-07;2020-11-07
10;23129;Mali Buckinghamshire facilitate;2020-11-07;2020-11-07
